Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,DayOfWeek
2024,May,Sudurpashchim,Kanchanpur,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,Friday
2024,March,Karnali,Jumla,Rural,Curve,Morning,Damage Only,Clear,Wet,Motorbike,30,Male,Monday
2024,February,Lumbini,Rupandehi,Rural,Straight,Afternoon,Serious Injury,Clear,Wet,Scooter,80,Female,Saturday
2023,April,Madhesh,Bara,Highway,Junction,Afternoon,Damage Only,Clear,Wet,Car,80,Male,Wednesday
2026,January,Koshi,Jhapa,Highway,Junction,Afternoon,Damage Only,Dusty,Dry,Truck,30,Male,Thursday
2023,February,Bagmati,Kathmandu,Highway,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male,Wednesday
2023,February,Karnali,Jumla,Feeder,Junction,Evening,Minor Injury,Fog,Damaged,Motorbike,80,Male,Monday
2024,February,Karnali,Jumla,Highway,Curve,Evening,Damage Only,Clear,Damaged,Scooter,80,Male,Thursday
2023,June,Lumbini,Kapilvastu,Urban,Straight,Night,Minor Injury,Clear,Slippery,Motorbike,50,Male,Sunday
2023,February,Gandaki,Gorkha,Highway,Curve,Afternoon,Serious Injury,Rain,Wet,Truck,50,Male,Friday
2025,May,Koshi,Sunsari,Highway,Straight,Morning,Serious Injury,Clear,Damaged,Motorbike,30,Male,Monday
2025,February,Gandaki,Kaski,Highway,Straight,Afternoon,Damage Only,Rain,Wet,Truck,30,Male,Friday
2025,December,Karnali,Jumla,Urban,Straight,Evening,Damage Only,Fog,Wet,Car,80,Male,Thursday
2023,July,Karnali,Surkhet,Urban,Straight,Evening,Minor Injury,Clear,Dry,Car,50,Female,Saturday
2025,February,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Bus,30,Male,Wednesday
2023,April,Madhesh,Bara,Urban,Junction,Afternoon,Damage Only,Rain,Wet,Car,30,Female,Saturday
2024,May,Madhesh,Parsa,Highway,Straight,Morning,Minor Injury,Rain,Wet,Car,80,Male,Thursday
2025,August,Koshi,Sunsari,Highway,Straight,Evening,Minor Injury,Rain,Wet,Truck,80,Male,Friday
2025,September,Bagmati,Bhaktapur,Rural,Curve,Evening,Minor Injury,Fog,Dry,Car,80,Male,Tuesday
2023,May,Madhesh,Sarlahi,Feeder,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,50,Other,Tuesday
2025,August,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Fog,Damaged,Motorbike,30,Male,Wednesday
2024,July,Sudurpashchim,Achham,Urban,Curve,Morning,Fatal,Rain,Wet,Jeep,30,Male,Sunday
2024,April,Lumbini,Dang,Highway,Junction,Morning,Serious Injury,Clear,Wet,Motorbike,30,Male,Tuesday
2024,March,Sudurpashchim,Kailali,Feeder,Straight,Morning,Serious Injury,Clear,Dry,Bus,30,Male,Sunday
2023,September,Koshi,Sunsari,Rural,Junction,Night,Minor Injury,Rain,Wet,Car,30,Male,Sunday
2023,December,Sudurpashchim,Achham,Urban,Curve,Afternoon,Minor Injury,Clear,Slippery,Car,50,Female,Monday
2025,July,Sudurpashchim,Kailali,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Truck,30,Male,Friday
2024,September,Bagmati,Chitwan,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,80,Male,Sunday
2024,May,Sudurpashchim,Kanchanpur,Feeder,Junction,Morning,Serious Injury,Dusty,Wet,Car,30,Male,Friday
2025,April,Bagmati,Chitwan,Rural,Curve,Evening,Serious Injury,Clear,Wet,Bus,30,Male,Tuesday
2023,September,Lumbini,Dang,Rural,Junction,Night,Minor Injury,Clear,Wet,Motorbike,50,Male,Wednesday
2023,April,Sudurpashchim,Kailali,Feeder,Curve,Afternoon,Minor Injury,Clear,Dry,Scooter,50,Female,Thursday
2024,June,Lumbini,Dang,Urban,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Female,Sunday
2023,April,Madhesh,Parsa,Highway,Junction,Morning,Damage Only,Clear,Damaged,Bus,80,Male,Saturday
2024,November,Gandaki,Lamjung,Urban,Roundabout,Evening,Serious Injury,Dusty,Dry,Motorbike,30,Male,Sunday
2023,March,Karnali,Kalikot,Highway,Junction,Night,Minor Injury,Clear,Damaged,Motorbike,50,Male,Wednesday
2025,March,Koshi,Ilam,Urban,Junction,Evening,Minor Injury,Rain,Wet,Car,80,Male,Monday
2024,November,Sudurpashchim,Doti,Rural,Junction,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Female,Tuesday
2025,October,Lumbini,Rupandehi,Urban,Junction,Morning,Serious Injury,Clear,Dry,Car,50,Male,Saturday
2025,April,Bagmati,Chitwan,Urban,Straight,Afternoon,Damage Only,Rain,Wet,Microbus,50,Male,Monday
2025,December,Bagmati,Lalitpur,Rural,Roundabout,Morning,Damage Only,Rain,Wet,Motorbike,50,Female,Saturday
2025,May,Lumbini,Kapilvastu,Urban,Curve,Night,Minor Injury,Clear,Dry,Car,30,Male,Wednesday
2023,December,Madhesh,Bara,Rural,Curve,Evening,Fatal,Rain,Wet,Motorbike,30,Male,Sunday
2025,March,Karnali,Jumla,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Scooter,80,Male,Friday
2023,May,Koshi,Morang,Highway,Curve,Morning,Minor Injury,Dusty,Wet,Truck,30,Male,Sunday
2025,July,Karnali,Jumla,Highway,Straight,Evening,Serious Injury,Clear,Wet,Motorbike,50,Male,Sunday
2024,August,Karnali,Surkhet,Rural,Straight,Morning,Serious Injury,Clear,Damaged,Car,30,Male,Thursday
2025,August,Koshi,Ilam,Highway,Curve,Evening,Minor Injury,Clear,Wet,Car,30,Male,Thursday
2023,August,Gandaki,Kaski,Highway,Curve,Afternoon,Minor Injury,Dusty,Dry,Truck,30,Male,Friday
2023,May,Bagmati,Bhaktapur,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Bus,30,Male,Tuesday
2024,November,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Dusty,Damaged,Motorbike,30,Male,Monday
2023,June,Karnali,Kalikot,Rural,Straight,Night,Serious Injury,Clear,Wet,Bus,80,Male,Thursday
2024,May,Lumbini,Rupandehi,Rural,Roundabout,Afternoon,Damage Only,Clear,Slippery,Bus,30,Female,Wednesday
2025,April,Gandaki,Tanahun,Urban,Straight,Afternoon,Serious Injury,Clear,Slippery,Bus,50,Male,Thursday
2025,July,Madhesh,Parsa,Rural,Straight,Morning,Minor Injury,Clear,Dry,Jeep,80,Male,Monday
2025,September,Koshi,Jhapa,Rural,Junction,Morning,Serious Injury,Rain,Wet,Jeep,80,Male,Thursday
2024,January,Sudurpashchim,Kailali,Rural,Curve,Night,Minor Injury,Rain,Wet,Motorbike,30,Male,Monday
2026,January,Karnali,Surkhet,Feeder,Straight,Morning,Fatal,Fog,Dry,Motorbike,30,Male,Wednesday
2023,October,Sudurpashchim,Achham,Feeder,Junction,Night,Serious Injury,Clear,Wet,Car,30,Male,Monday
2023,April,Bagmati,Kathmandu,Urban,Junction,Afternoon,Serious Injury,Dusty,Slippery,Bus,50,Female,Wednesday
2024,October,Sudurpashchim,Doti,Highway,Junction,Afternoon,Minor Injury,Clear,Wet,Car,30,Male,Wednesday
2024,August,Koshi,Jhapa,Rural,Straight,Afternoon,Minor Injury,Clear,Wet,Motorbike,30,Male,Monday
2023,September,Karnali,Surkhet,Highway,Curve,Morning,Minor Injury,Fog,Wet,Bus,80,Male,Friday
2025,December,Gandaki,Lamjung,Rural,Junction,Night,Minor Injury,Dusty,Wet,Motorbike,30,Female,Thursday
2023,October,Karnali,Surkhet,Feeder,Junction,Afternoon,Fatal,Rain,Wet,Motorbike,50,Male,Sunday
2023,August,Karnali,Surkhet,Urban,Junction,Morning,Serious Injury,Rain,Wet,Bus,80,Male,Tuesday
2025,September,Lumbini,Dang,Feeder,Junction,Night,Fatal,Clear,Wet,Truck,80,Male,Monday
2024,August,Gandaki,Gorkha,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Car,50,Male,Friday
2024,August,Madhesh,Rautahat,Highway,Curve,Afternoon,Minor Injury,Clear,Wet,Car,50,Male,Friday
2024,March,Lumbini,Banke,Highway,Junction,Afternoon,Serious Injury,Rain,Wet,Car,30,Female,Monday
2024,March,Madhesh,Bara,Highway,Straight,Evening,Damage Only,Clear,Dry,Scooter,80,Male,Monday
2025,May,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Damage Only,Dusty,Wet,Truck,80,Male,Saturday
2025,October,Karnali,Surkhet,Urban,Junction,Night,Minor Injury,Clear,Damaged,Car,80,Female,Monday
2024,August,Sudurpashchim,Achham,Highway,Curve,Afternoon,Minor Injury,Rain,Wet,Scooter,80,Male,Friday
2023,December,Lumbini,Banke,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Motorbike,50,Male,Tuesday
2024,August,Bagmati,Lalitpur,Rural,Curve,Evening,Minor Injury,Clear,Wet,Bus,50,Male,Saturday
2024,December,Sudurpashchim,Achham,Highway,Curve,Afternoon,Fatal,Clear,Damaged,Car,30,Male,Tuesday
2024,May,Madhesh,Bara,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Female,Tuesday
2024,November,Madhesh,Parsa,Rural,Roundabout,Afternoon,Fatal,Fog,Wet,Motorbike,30,Male,Saturday
2024,September,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Fog,Wet,Car,30,Male,Friday
2024,July,Madhesh,Rautahat,Urban,Straight,Evening,Damage Only,Clear,Slippery,Car,50,Female,Tuesday
2024,March,Karnali,Surkhet,Rural,Junction,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male,Tuesday
2025,October,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Minor Injury,Fog,Damaged,Jeep,30,Male,Saturday
2023,October,Gandaki,Tanahun,Highway,Junction,Afternoon,Damage Only,Rain,Wet,Motorbike,30,Male,Thursday
2024,November,Lumbini,Dang,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Truck,30,Male,Monday
2023,July,Gandaki,Kaski,Rural,Junction,Night,Damage Only,Clear,Slippery,Truck,30,Male,Monday
2025,May,Sudurpashchim,Kailali,Highway,Curve,Night,Minor Injury,Fog,Dry,Bus,50,Male,Sunday
2024,February,Madhesh,Parsa,Highway,Straight,Evening,Damage Only,Clear,Damaged,Motorbike,30,Female,Saturday
2023,October,Bagmati,Bhaktapur,Feeder,Straight,Night,Minor Injury,Clear,Damaged,Motorbike,30,Male,Monday
2023,September,Madhesh,Parsa,Urban,Curve,Afternoon,Minor Injury,Clear,Damaged,Microbus,80,Male,Friday
2025,November,Lumbini,Dang,Urban,Junction,Afternoon,Minor Injury,Clear,Slippery,Car,80,Male,Tuesday
2023,October,Bagmati,Bhaktapur,Urban,Junction,Afternoon,Damage Only,Clear,Damaged,Motorbike,30,Male,Friday
2025,September,Sudurpashchim,Kailali,Highway,Curve,Morning,Damage Only,Rain,Wet,Car,30,Male,Monday
2025,May,Karnali,Jumla,Feeder,Straight,Morning,Minor Injury,Clear,Damaged,Car,50,Male,Monday
2025,August,Sudurpashchim,Achham,Highway,Junction,Afternoon,Fatal,Clear,Wet,Scooter,30,Male,Thursday
2023,September,Lumbini,Banke,Feeder,Straight,Afternoon,Damage Only,Clear,Slippery,Motorbike,30,Male,Tuesday
2023,September,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Damaged,Motorbike,80,Male,Monday
2025,January,Madhesh,Sarlahi,Urban,Straight,Evening,Damage Only,Clear,Wet,Motorbike,50,Female,Sunday
2023,March,Madhesh,Sarlahi,Rural,Straight,Night,Damage Only,Clear,Slippery,Jeep,30,Male,Saturday
2025,March,Bagmati,Bhaktapur,Highway,Junction,Morning,Minor Injury,Fog,Dry,Motorbike,80,Male,Wednesday
2025,January,Madhesh,Parsa,Highway,Junction,Evening,Minor Injury,Clear,Wet,Microbus,80,Female,Thursday
2023,January,Madhesh,Parsa,Feeder,Curve,Evening,Damage Only,Rain,Wet,Scooter,30,Male,Sunday
2024,December,Karnali,Kalikot,Rural,Straight,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Male,Friday
2025,June,Gandaki,Kaski,Rural,Straight,Evening,Minor Injury,Clear,Damaged,Jeep,30,Male,Monday
2023,October,Lumbini,Banke,Rural,Junction,Afternoon,Minor Injury,Fog,Dry,Car,80,Male,Sunday
2023,September,Gandaki,Lamjung,Urban,Junction,Morning,Minor Injury,Fog,Slippery,Scooter,30,Male,Thursday
2023,June,Madhesh,Sarlahi,Urban,Junction,Afternoon,Minor Injury,Clear,Wet,Motorbike,50,Male,Sunday
2024,June,Koshi,Ilam,Urban,Straight,Evening,Fatal,Clear,Dry,Truck,50,Female,Friday
2023,June,Madhesh,Rautahat,Highway,Junction,Morning,Minor Injury,Rain,Wet,Scooter,30,Female,Friday
2025,November,Koshi,Morang,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,30,Male,Saturday
2023,March,Bagmati,Kathmandu,Highway,Roundabout,Morning,Minor Injury,Rain,Wet,Scooter,30,Male,Friday
2024,December,Gandaki,Gorkha,Rural,Straight,Morning,Minor Injury,Clear,Damaged,Bus,30,Male,Saturday
2024,November,Sudurpashchim,Achham,Rural,Junction,Evening,Damage Only,Clear,Wet,Bus,30,Male,Friday
2025,January,Sudurpashchim,Achham,Highway,Straight,Morning,Serious Injury,Clear,Slippery,Car,80,Male,Friday
2023,July,Bagmati,Bhaktapur,Rural,Straight,Evening,Minor Injury,Dusty,Wet,Motorbike,30,Female,Sunday
2025,August,Karnali,Surkhet,Feeder,Straight,Evening,Damage Only,Clear,Wet,Bus,30,Male,Sunday
2023,September,Bagmati,Chitwan,Rural,Junction,Morning,Serious Injury,Rain,Wet,Car,80,Male,Tuesday
2025,July,Koshi,Sunsari,Highway,Straight,Evening,Damage Only,Clear,Dry,Microbus,50,Male,Friday
2024,March,Lumbini,Kapilvastu,Urban,Straight,Evening,Minor Injury,Dusty,Dry,Scooter,50,Male,Sunday
2025,February,Karnali,Surkhet,Urban,Curve,Night,Damage Only,Rain,Wet,Scooter,50,Male,Tuesday
2024,February,Gandaki,Kaski,Urban,Junction,Afternoon,Fatal,Clear,Slippery,Car,80,Female,Wednesday
2024,April,Karnali,Jumla,Urban,Straight,Night,Minor Injury,Clear,Wet,Jeep,30,Male,Saturday
2025,February,Bagmati,Bhaktapur,Highway,Curve,Night,Damage Only,Clear,Slippery,Scooter,50,Female,Sunday
2024,October,Madhesh,Sarlahi,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Scooter,30,Male,Wednesday
2023,January,Lumbini,Dang,Highway,Roundabout,Night,Minor Injury,Dusty,Wet,Car,80,Male,Tuesday
2025,February,Bagmati,Kathmandu,Urban,Straight,Night,Minor Injury,Fog,Damaged,Car,30,Male,Friday
2024,March,Koshi,Jhapa,Feeder,Junction,Morning,Damage Only,Rain,Wet,Scooter,50,Male,Monday
2023,June,Koshi,Sunsari,Highway,Straight,Evening,Serious Injury,Clear,Damaged,Car,30,Female,Sunday
2023,February,Gandaki,Gorkha,Rural,Junction,Afternoon,Minor Injury,Rain,Wet,Bus,50,Male,Sunday
2025,April,Madhesh,Rautahat,Rural,Roundabout,Morning,Fatal,Rain,Wet,Bus,50,Male,Sunday
2025,July,Madhesh,Bara,Rural,Curve,Night,Serious Injury,Dusty,Slippery,Bus,50,Female,Friday
2023,September,Sudurpashchim,Achham,Highway,Junction,Night,Damage Only,Clear,Slippery,Microbus,50,Male,Friday
2025,January,Bagmati,Lalitpur,Feeder,Straight,Evening,Damage Only,Clear,Slippery,Motorbike,80,Female,Sunday
2025,April,Gandaki,Gorkha,Highway,Straight,Morning,Fatal,Fog,Damaged,Scooter,50,Male,Monday
2024,September,Karnali,Kalikot,Urban,Straight,Night,Serious Injury,Clear,Slippery,Jeep,80,Male,Tuesday
2025,June,Lumbini,Rupandehi,Rural,Junction,Afternoon,Damage Only,Clear,Slippery,Scooter,80,Male,Thursday
2025,March,Karnali,Surkhet,Urban,Straight,Afternoon,Minor Injury,Clear,Damaged,Truck,30,Female,Tuesday
2023,July,Koshi,Ilam,Urban,Straight,Evening,Serious Injury,Clear,Wet,Truck,30,Female,Thursday
2024,December,Sudurpashchim,Achham,Urban,Curve,Night,Damage Only,Fog,Wet,Car,30,Female,Monday
2024,October,Gandaki,Tanahun,Rural,Curve,Morning,Damage Only,Clear,Damaged,Scooter,30,Male,Tuesday
2024,October,Gandaki,Gorkha,Urban,Junction,Night,Damage Only,Clear,Slippery,Scooter,80,Male,Wednesday
2025,November,Sudurpashchim,Doti,Feeder,Straight,Evening,Minor Injury,Rain,Wet,Car,30,Female,Thursday
2026,January,Karnali,Surkhet,Urban,Curve,Morning,Damage Only,Clear,Wet,Truck,30,Male,Thursday
2024,December,Koshi,Jhapa,Highway,Junction,Morning,Minor Injury,Rain,Wet,Motorbike,50,Male,Monday
2024,January,Bagmati,Lalitpur,Rural,Junction,Afternoon,Damage Only,Clear,Wet,Microbus,30,Male,Wednesday
2025,April,Koshi,Sunsari,Rural,Junction,Afternoon,Minor Injury,Clear,Damaged,Bus,50,Female,Monday
2025,May,Karnali,Kalikot,Highway,Junction,Morning,Fatal,Fog,Slippery,Scooter,50,Male,Sunday
2023,September,Koshi,Sunsari,Urban,Curve,Evening,Serious Injury,Clear,Wet,Truck,30,Female,Sunday
2024,August,Lumbini,Rupandehi,Highway,Junction,Afternoon,Damage Only,Clear,Slippery,Car,30,Male,Wednesday
2023,August,Lumbini,Dang,Feeder,Straight,Evening,Serious Injury,Clear,Wet,Truck,80,Male,Tuesday
2024,October,Gandaki,Kaski,Urban,Junction,Afternoon,Damage Only,Clear,Slippery,Truck,80,Male,Thursday
2024,June,Koshi,Morang,Highway,Straight,Morning,Serious Injury,Clear,Wet,Motorbike,50,Male,Sunday
2025,December,Madhesh,Rautahat,Rural,Straight,Afternoon,Minor Injury,Dusty,Damaged,Truck,30,Male,Tuesday
2025,June,Koshi,Sunsari,Highway,Straight,Morning,Fatal,Clear,Damaged,Scooter,50,Male,Friday
2025,July,Lumbini,Dang,Urban,Curve,Afternoon,Serious Injury,Clear,Damaged,Truck,80,Male,Thursday
2025,July,Madhesh,Bara,Highway,Straight,Morning,Damage Only,Clear,Wet,Bus,30,Male,Tuesday
2023,September,Gandaki,Gorkha,Highway,Straight,Morning,Minor Injury,Rain,Wet,Scooter,30,Male,Monday
2024,April,Gandaki,Lamjung,Highway,Curve,Evening,Serious Injury,Fog,Wet,Car,80,Male,Saturday
2024,December,Bagmati,Chitwan,Urban,Straight,Afternoon,Serious Injury,Dusty,Dry,Car,50,Female,Thursday
2023,March,Gandaki,Tanahun,Highway,Straight,Morning,Fatal,Clear,Slippery,Truck,50,Male,Saturday
2023,July,Koshi,Sunsari,Urban,Curve,Morning,Minor Injury,Clear,Slippery,Microbus,30,Female,Thursday
2024,August,Gandaki,Tanahun,Highway,Straight,Afternoon,Minor Injury,Clear,Dry,Scooter,50,Male,Thursday
2023,October,Karnali,Kalikot,Feeder,Straight,Evening,Minor Injury,Clear,Wet,Motorbike,30,Male,Friday
2023,April,Koshi,Jhapa,Highway,Straight,Morning,Minor Injury,Rain,Wet,Motorbike,50,Male,Wednesday
2025,July,Gandaki,Kaski,Rural,Curve,Morning,Minor Injury,Clear,Wet,Scooter,80,Male,Saturday
2024,August,Karnali,Kalikot,Urban,Curve,Evening,Serious Injury,Clear,Damaged,Truck,50,Male,Saturday
